2192
1
C01
0	-4.02
0.2	-2.95
0.4	-6.89
0.1	-6.9
0.2	-7.72
1.5	-8.22
1.5	-3.08
0.6	-1.14
1.5	-2.66
3.3	-0.65
6	-0.28
2.3	-4.07
9.3	-4.89
1.9	-5.81
0.2	0.71
6.3	1.27
4.2	1.54
1.1	0.11
13.7	-0.32
5.2	-1.61
2.3	-3.6
0.5	-4.74
0.3	-11.76
9	-1.68
0	-7.86
0	-7.73
0.5	-9.37
0.2	-7.31
0.8	-0.87
0	-8.84
0	-10.47
16.9	-0.48
12.1	-1.23
0.5	-8.47
0.3	-12.91
0.9	-1.26
1.4	-1.04
0.2	-2.22
0	-3.62
0.7	-0.82
0.1	-0.36
0	-6.58
0	-6.37
0.2	-1.99
0	-6.25
0	-10.2
0	-6.47
0	-1.7
0.5	-3.68
0.5	-3.55
0.2	-2.09
0	-1.15
4.8	-0.58
0	-3.81
1.8	-1.42
0	1.08
0.4	-3.34
3.2	-4.68
1.6	-8.75
1.5	-10.07
2.6	-2.49
0.1	-3.56
3.6	-5.71
0	-6.98
0	-7.79
11	-2.01
0.1	-6.88
4	-4.76
7.9	0.04
2.3	1.1
0	1.05
0.5	0.71
0.2	0.04
0.7	-1.32
0	-4.22
0	-6.08
4.9	-3.38
1.5	-3.29
0.1	-6.18
0	-10.16
0	-10.17
0	-9.41
1.6	-12.13
0	-13.62
0	-8.48
0	-4.99
2.1	-3.06
0	-4.06
0	0.49
0.5	1.4
0.6	1.49
0	1.51
0.3	2.17
4.1	-1.01
5.6	0.21
2.7	0.83
0	-0.91
0.4	-1.29
0.7	-3.63
8.6	-3.53
1	-3.68
0	-2.32
0	-0.18
6.6	-1.81
4.6	-2.06
0	1.31
0	1
0	2.49
0	4.51
0	0.77
0	0.89
0	2.35
0	1.87
0	3.23
0	3.95
0	3.37
0	4.07
0	5.13
0	6.64
0	7.75
0	9.15
0	10.08
0	9.23
0	12.84
0.2	8.66
0	6.11
1	3.94
0.4	8.41
0	9.9
0	12.41
0	10.35
0.4	8.37
0.4	3.51
0.1	2.66
0.1	1.23
0	1.58
0	1.47
0	1.71
0.1	1.61
0.4	2.58
0	3.43
0	4.88
0	5.58
0	7.57
0	8.09
0	10.87
0.2	7.13
0	8.86
0	12.02
0	11.95
0	12.84
0	14.28
0	17.02
0	14.39
0	13.59
0	16.68
0	19.78
0	14.31
0.8	12.19
0	12.28
13.4	6.82
20.2	5.65
0.2	7.06
4.3	6.27
4.1	8.06
0.2	10.92
0.4	11.09
0.8	11.78
0.4	11.46
0	13.15
0.2	14.44
1.8	12.68
1.8	12.52
2.6	12.69
8.7	10.71
0.5	10.72
2.2	8.17
